email_id,sender_domain,timestamp,Type,Area,Sub Area,Child Sub Area,email_body
email_561,client.com,7/23/21 6:45,Service Request,Credit Cards,Temporary Blocking of existing Card,N/A,"Subject: Issue with Temporary Blocking of existing Card (Service Request)

Hello,

This is regarding my service request for Temporary Blocking of existing Card (Credit Cards).
I don't have the exact date/time right now.
Let me know if you need anything else.


Thanks"
email_243,business.org,11/16/21 9:02,Complaint,Suggessions/Issues,Administration issues,N/A,"Subject: Question about Administration issues in Suggessions/Issues

Hello,

I need help with Administration issues in Suggessions/Issues.
I tried the usual steps but the problem persists.
ASAP please.
Let me know if you need anything else.


Sincerely"
email_557,anothercorp.net,4/17/21 6:19,Service Request,Credit Cards,Statement Request,N/A,"Subject: Issue with Statement Request (Service Request)

I'm following up on Statement Request.
I don't have the exact date/time right now.
ASAP please.


— Sent from my phone"
email_293,client.com,12/14/21 9:03,Service request,CASA,Acceptance of Hold/Lien removal request,Current Account,"Subject: Question about Acceptance of Hold/Lien removal request – Current Account in CASA

Hey,

This is regarding my service request for Acceptance of Hold/Lien removal request (CASA).
I got an error and couldn't complete what I was doing.


Thanks"
email_575,business.org,2/11/21 5:35,Complaint,Suggessions/Issues,Amount sent to Union Bank of India account,Chargeback not raised by sender Bank,"Subject: Question about Amount sent to Union Bank of India account – Chargeback not raised by sender Bank in Suggessions/Issues

Hello,

I'm raising a complaint about Amount sent to Union Bank of India account in Suggessions/Issues (specifically: Chargeback not raised by sender Bank).
It started a few days ago and hasn't been resolved.
I already shared some details before.


Thanks"
email_237,business.org,4/19/21 16:31,Service request,CASA,Closing of Account Request Initiation,Saving Account,"Subject: Follow-up on service request — Closing of Account Request Initiation – Saving Account

To whom it may concern,

I'm reaching out about Closing of Account Request Initiation under CASA (specifically: Saving Account).
I was told this would be fixed, but I haven't heard back.
Not sure what else you need.


Thanks"
email_549,anothercorp.net,7/14/21 15:16,Service Request,Credit Cards,Cancellation of Cards,Cancellation of Cards if any dues pending on Card,"Subject: Question about Cancellation of Cards – Cancellation of Cards if any dues pending on Card in Credit Cards

To whom it may concern,

I'm following up on Cancellation of Cards (specifically: Cancellation of Cards if any dues pending on Card).
I got an error and couldn't complete what I was doing.
This is urgent.
Let me know if you need anything else.


Thanks"
email_663,client.com,10/2/21 8:34,Service Request,Credit Cards,Card not Received - Applied through STP,N/A,"Subject: Service Request: Help with Card not Received - Applied through STP (Credit Cards)

This is regarding my service request for Card not Received - Applied through STP (Credit Cards).
I was told this would be fixed, but I haven't heard back.
Please sort this today.


Regards"
email_28,business.org,7/26/21 7:59,Complaint,Suggessions/Issues,Education Loan,Not applied yet,"Subject: Complaint: Help with Education Loan – Not applied yet (Suggessions/Issues)

To whom it may concern,

I need help with Education Loan in Suggessions/Issues (specifically: Not applied yet).
I was told this would be fixed, but I haven't heard back.


Sincerely"
email_332,client.com,10/22/21 17:06,Service request,CASA,Account Type Change Request,BSBDA/BSBDS to SBGEN,"Subject: Need assistance: Account Type Change Request – BSBDA/BSBDS to SBGEN

Hey,

I'm reaching out about Account Type Change Request under CASA (specifically: BSBDA/BSBDS to SBGEN).
I was told this would be fixed, but I haven't heard back.


Regards"
email_467,business.org,11/24/21 16:39,Service Request,NRI Customers,Updation of overseas address,N/A,"Subject: Issue with Updation of overseas address (Service Request)

Hi team,

I need help with Updation of overseas address in NRI Customers.
I tried the usual steps but the problem persists.
I don't have the docs handy.


Best"
email_413,client.com,10/14/21 2:17,Service Request,Credit Cards,Card conversion,Convert card to Rupay card or Rupay Platinum,"Subject: Issue with Card conversion – Convert card to Rupay card or Rupay Platinum (Service Request)

Hey,

I need help with Card conversion in Credit Cards (specifically: Convert card to Rupay card or Rupay Platinum).
I got an error and couldn't complete what I was doing.
This is urgent.


Best"
email_507,client.com,5/2/21 16:10,Service Request,Credit Cards,Profile update,"All types of modification / LL TYPES OF MODIFICATION / Updation viz. AADHAR, BILL SEND FLAG, CBS CUST ID, DATE OF BIRTH, E-MAIL ID, EMPLOYEE CODE, PAN NUMBER, ADDRESS, ACCOUNT NUMBER, STANDING INSTRUCTIONS, STAFF CATOGERY, MOBILE NUMBER, ETC.","Subject: Service Request: Help with Profile update – All types of modification / LL TYPES OF MODIFICATION / Updation viz. AADHAR, BILL SEND FLAG, CBS CUST ID, DATE OF BIRTH, E-MAIL ID, EMPLOYEE CODE, PAN NUMBER, ADDRESS, ACCOUNT NUMBER, STANDING INSTRUCTIONS, STAFF CATOGERY, MOBILE NUMBER, ETC. (Credit Cards)

Hello,

I'm reaching out about Profile update under Credit Cards (specifically: All types of modification / LL TYPES OF MODIFICATION / Updation viz. AADHAR, BILL SEND FLAG, CBS CUST ID, DATE OF BIRTH, E-MAIL ID, EMPLOYEE CODE, PAN NUMBER, ADDRESS, ACCOUNT NUMBER, STANDING INSTRUCTIONS, STAFF CATOGERY, MOBILE NUMBER, ETC.).
I was told this would be fixed, but I haven't heard back.
ASAP please.
I already shared some details before.


Regards"
email_132,client.com,10/6/21 11:01,Service request,CASA,Request for new passbook,Saving Account,"Subject: Service request: Help with Request for new passbook – Saving Account (CASA)

Hi there,

This is regarding my service request for Request for new passbook (CASA).
I tried the usual steps but the problem persists.


Cheers"
email_35,client.com,9/29/21 1:59,Complaint,UPI,Set/Reset of UPI PIN,N/A,"Subject: Follow-up on complaint — Set/Reset of UPI PIN

Hey,

I'm reaching out about Set/Reset of UPI PIN under UPI.
I got an error and couldn't complete what I was doing.
Not sure what else you need.


Cheers"
email_838,client.com,2/5/21 9:31,Complaint,Suggessions/Issues,Amount sent to Union Bank of India account,Chargeback raised by sender Bank,"Subject: Complaint: Amount sent to Union Bank of India account – Chargeback raised by sender Bank

Hi team,

This is regarding my complaint for Amount sent to Union Bank of India account (Suggessions/Issues).
I tried the usual steps but the problem persists.
ASAP please.


Cheers"
email_959,business.org,2/22/21 0:46,Complaint,Credit Cards,Dispatch Issues,Dispatch Issues,"Subject: Follow-up on complaint — Dispatch Issues – Dispatch Issues

Hello,

I'm raising a complaint about Dispatch Issues in Credit Cards (specifically: Dispatch Issues).
I tried the usual steps but the problem persists.
I don't have the docs handy.


Cheers"
email_782,client.com,3/30/21 21:54,Complaint,Credit Cards,Payment not shown in Stmt/AC,Mode of Payment (Transfer from Account),"Subject: Issue with Payment not shown in Stmt/AC – Mode of Payment (Transfer from Account) (Complaint)

Hey,

This is regarding my complaint for Payment not shown in Stmt/AC (Credit Cards).
I don't have the exact date/time right now.


— Sent from my phone"
email_478,business.org,1/1/21 14:32,Complaint,Credit Cards,Statement request,Statement for more than a month,"Subject: Complaint: Help with Statement request – Statement for more than a month (Credit Cards)

To whom it may concern,

I need help with Statement request in Credit Cards (specifically: Statement for more than a month).
I tried the usual steps but the problem persists.
This is urgent.


Thanks"
email_738,anothercorp.net,9/29/21 9:56,Query,NRI Customers,Interest Rates query,Query for Interest Rates query for NRE/NRO Term Deposit,"Subject: Issue with Interest Rates query – Query for Interest Rates query for NRE/NRO Term Deposit (Query)

Hey,

I need help with Interest Rates query in NRI Customers (specifically: Query for Interest Rates query for NRE/NRO Term Deposit).
I was told this would be fixed, but I haven't heard back.


Sincerely"
email_17,client.com,6/30/21 8:40,Complaint,Credit Cards,Getting error DEBIT TIMEOUT while doing Transaction,Getting error DEBIT TIMEOUT while doing Transaction,"Subject: Question about Getting error DEBIT TIMEOUT while doing Transaction – Getting error DEBIT TIMEOUT while doing Transaction in Credit Cards

Hello,

I'm raising a complaint about Getting error DEBIT TIMEOUT while doing Transaction in Credit Cards (specifically: Getting error DEBIT TIMEOUT while doing Transaction).
I don't have the exact date/time right now.
Need this fixed now.


Regards"
email_62,business.org,2/22/21 13:56,Service Request,Credit Cards,Card not Received - Applied through STP,N/A,"Subject: Question about Card not Received - Applied through STP in Credit Cards

Hi team,

I'm reaching out about Card not Received - Applied through STP under Credit Cards.
It started a few days ago and hasn't been resolved.
Please sort this today.


Regards"
email_484,business.org,1/1/21 10:48,Complaint,Credit Cards,Getting error ADDRESS RESOLUTION IS FAILED while doing Transaction,Getting error ADDRESS RESOLUTION IS FAILED while doing Transaction,"Subject: Issue with Getting error ADDRESS RESOLUTION IS FAILED while doing Transaction – Getting error ADDRESS RESOLUTION IS FAILED while doing Transaction (Complaint)

Hey,

I need help with Getting error ADDRESS RESOLUTION IS FAILED while doing Transaction in Credit Cards (specifically: Getting error ADDRESS RESOLUTION IS FAILED while doing Transaction).
It started a few days ago and hasn't been resolved.
Not sure what else you need.


Regards"
email_443,business.org,12/9/21 9:05,Service request,CASA,Name modification,Current Account,"Subject: Follow-up on service request — Name modification – Current Account

To whom it may concern,

This is regarding my service request for Name modification (CASA).
I don't have the exact date/time right now.
I don't have the docs handy.


Best"
email_602,anothercorp.net,11/21/21 20:34,Service request,CASA,Account Transfer Request,BSBDA/BSBDS to SBGEN,"Subject: Issue with Account Transfer Request – BSBDA/BSBDS to SBGEN (Service request)

Hi there,

I'm reaching out about Account Transfer Request under CASA (specifically: BSBDA/BSBDS to SBGEN).
I got an error and couldn't complete what I was doing.
I already shared some details before.


Thanks"
email_934,business.org,7/22/21 8:41,Complaint,Credit Cards,Payment not shown in Stmt/AC,Mode of Payment (Transfer from Account),"Subject: Follow-up on complaint — Payment not shown in Stmt/AC – Mode of Payment (Transfer from Account)

To whom it may concern,

I'm raising a complaint about Payment not shown in Stmt/AC in Credit Cards (specifically: Mode of Payment (Transfer from Account)).
It started a few days ago and hasn't been resolved.


Regards"
email_104,anothercorp.net,4/22/21 19:34,Complaint,Credit Cards,Transaction declined,Overseas,"Subject: Follow-up on complaint — Transaction declined – Overseas

I'm reaching out about Transaction declined under Credit Cards (specifically: Overseas).
It started a few days ago and hasn't been resolved.
Please sort this today.
I don't have the docs handy.


Best"
email_744,anothercorp.net,5/18/21 15:47,Service Request,Credit Cards,Profile update,N/A,"Subject: Question about Profile update in Credit Cards

I'm reaching out about Profile update under Credit Cards.
Please process this request and let me know what you need from me.
Not sure what else you need.


Thanks"
email_248,anothercorp.net,12/23/21 22:33,Service Request,NRI Customers,Registered mobile number updation,N/A,"Subject: Follow-up on service request — Registered mobile number updation

Hello,

This is regarding my service request for Registered mobile number updation (NRI Customers).
I tried the usual steps but the problem persists.
ASAP please.


Best"
email_490,anothercorp.net,5/2/21 13:54,Complaint,Suggessions/Issues,Cheque dishonoured,Issued to Union Bank customer,"Subject: Complaint: Help with Cheque dishonoured – Issued to Union Bank customer (Suggessions/Issues)

Hi team,

I'm following up on Cheque dishonoured (specifically: Issued to Union Bank customer).
I don't have the exact date/time right now.


Thanks"
email_748,client.com,11/20/21 23:07,Complaint,Credit Cards,Account Debited but not credited in Merchant/Beneficiary Account,N/A,"Subject: Follow-up on complaint — Account Debited but not credited in Merchant/Beneficiary Account

Hi there,

I'm raising a complaint about Account Debited but not credited in Merchant/Beneficiary Account in Credit Cards.
It started a few days ago and hasn't been resolved.


Cheers"
email_836,anothercorp.net,7/21/21 19:23,Complaint,Insurance/Mutual Fund,Pending/non disbrs claims,N/A,"Subject: Issue with Pending/non disbrs claims (Complaint)

To whom it may concern,

I'm following up on Pending/non disbrs claims.
I got an error and couldn't complete what I was doing.


Cheers"
email_41,anothercorp.net,11/9/21 15:21,Query,NRI Customers,Fixed Deposit Closure,N/A,"Subject: Query: Help with Fixed Deposit Closure (NRI Customers)

To whom it may concern,

This is regarding my query for Fixed Deposit Closure (NRI Customers).
Can you clarify the process and timelines?
Not sure what else you need.


— Sent from my phone"
email_200,business.org,6/24/21 6:57,Complaint,Suggessions/Issues,Cheque dishonoured,Issued by Union bank customer,"Subject: Question about Cheque dishonoured – Issued by Union bank customer in Suggessions/Issues

This is regarding my complaint for Cheque dishonoured (Suggessions/Issues).
I got an error and couldn't complete what I was doing.


Best"
email_215,client.com,7/5/21 2:20,Service request,CASA,Closing of Account Request Initiation,Saving Account,"Subject: Question about Closing of Account Request Initiation – Saving Account in CASA

Hi team,

I need help with Closing of Account Request Initiation in CASA (specifically: Saving Account).
It started a few days ago and hasn't been resolved.
Not sure what else you need.


Thanks"
email_897,client.com,7/15/21 5:26,Service Request,NRI Customers,Statement request,N/A,"Subject: Question about Statement request in NRI Customers

Hello,

I'm following up on Statement request.
I don't have the exact date/time right now.
Not sure what else you need.


Thanks"
email_437,anothercorp.net,10/12/21 12:50,Service Request,Credit Cards,Hotlisting of Card,N/A,"Subject: Issue with Hotlisting of Card (Service Request)

I need help with Hotlisting of Card in Credit Cards.
I don't have the exact date/time right now.
Not sure what else you need.


— Sent from my phone"
email_697,business.org,4/7/21 20:46,Service Request,NRI Customers,TDS certificate Request,N/A,"Subject: Service Request: Help with TDS certificate Request (NRI Customers)

I need help with TDS certificate Request in NRI Customers.
Please process this request and let me know what you need from me.
Need this fixed now.
Not sure what else you need.


Best"
email_955,business.org,8/30/21 1:30,Service request,CASA,Update Nominee,Saving Account,"Subject: Question about Update Nominee – Saving Account in CASA

Hi there,

I'm reaching out about Update Nominee under CASA (specifically: Saving Account).
I was told this would be fixed, but I haven't heard back.


Sincerely"
email_816,client.com,4/18/21 14:13,Complaint,NRI Customers,Internet Banking,Registration of Net banking,"Subject: Complaint: Help with Internet Banking – Registration of Net banking (NRI Customers)

I'm reaching out about Internet Banking under NRI Customers (specifically: Registration of Net banking).
I was told this would be fixed, but I haven't heard back.
This is urgent.


— Sent from my phone"
email_82,client.com,12/16/21 16:11,Service Request,Credit Cards,Date of NPA,Customer wants to know the date of NPA,"Subject: Issue with Date of NPA – Customer wants to know the date of NPA (Service Request)

Hello,

I need help with Date of NPA in Credit Cards (specifically: Customer wants to know the date of NPA).
I don't have the exact date/time right now.
This is urgent.


Best"
email_115,business.org,6/28/21 22:07,Service Request,Credit Cards,Card Not Activated,NPA Card,"Subject: Service Request: Help with Card Not Activated – NPA Card (Credit Cards)

I need help with Card Not Activated in Credit Cards (specifically: NPA Card).
I don't have the exact date/time right now.


Thanks"
email_869,client.com,8/9/21 5:28,Complaint,Suggessions/Issues,Cheque dishonoured,Issued to Union Bank customer,"Subject: Question about Cheque dishonoured – Issued to Union Bank customer in Suggessions/Issues

Hi there,

I need help with Cheque dishonoured in Suggessions/Issues (specifically: Issued to Union Bank customer).
It started a few days ago and hasn't been resolved.
ASAP please.


Cheers"
email_50,anothercorp.net,7/5/21 12:47,Service Request,Credit Cards,Card Not Activated,Hotlisted / Blocked Card,"Subject: Need assistance: Card Not Activated – Hotlisted / Blocked Card

Hello,

I'm reaching out about Card Not Activated under Credit Cards (specifically: Hotlisted / Blocked Card).
I don't have the exact date/time right now.


Regards"
email_100,anothercorp.net,6/25/21 2:19,Service Request,Credit Cards,Card limit enhancement,I want to increase my card limit,"Subject: Question about Card limit enhancement – I want to increase my card limit in Credit Cards

Hello,

I'm reaching out about Card limit enhancement under Credit Cards (specifically: I want to increase my card limit).
I was told this would be fixed, but I haven't heard back.


Thanks"
email_131,business.org,10/17/21 23:19,Complaint,Credit Cards,Payment not shown in Stmt/AC,Mode of Payment (Cheque),"Subject: Question about Payment not shown in Stmt/AC – Mode of Payment (Cheque) in Credit Cards

Hello,

I'm reaching out about Payment not shown in Stmt/AC under Credit Cards (specifically: Mode of Payment (Cheque)).
I don't have the exact date/time right now.
This is urgent.
I already shared some details before.


Sincerely"
email_948,anothercorp.net,8/10/21 23:12,Complaint,Credit Cards,Statements not received in mail,Statements not received in mail,"Subject: Complaint: Statements not received in mail – Statements not received in mail

I'm raising a complaint about Statements not received in mail in Credit Cards (specifically: Statements not received in mail).
I don't have the exact date/time right now.
ASAP please.


Best"
email_398,client.com,11/8/21 22:25,Service Request,Credit Cards,Card Not Activated,Cards agt. Deposits,"Subject: Service Request: Help with Card Not Activated – Cards agt. Deposits (Credit Cards)

Hi team,

I'm following up on Card Not Activated (specifically: Cards agt. Deposits).
I was told this would be fixed, but I haven't heard back.


Thanks"
email_950,client.com,6/19/21 17:31,Service Request,Credit Cards,Suit Filed Card,Customer wants to know date of filing Suit,"Subject: Follow-up on service request — Suit Filed Card – Customer wants to know date of filing Suit

This is regarding my service request for Suit Filed Card (Credit Cards).
I was told this would be fixed, but I haven't heard back.
I don't have the docs handy.


Regards"
email_229,client.com,10/27/21 20:04,Service request,CASA,Update KYC,N/A,"Subject: Follow-up on service request — Update KYC

I'm reaching out about Update KYC under CASA.
I don't have the exact date/time right now.
I don't have the docs handy.


Sincerely"
email_440,anothercorp.net,6/8/21 0:50,Query,NRI Customers,Addition/Deletion of Nominee Details,N/A,"Subject: Issue with Addition/Deletion of Nominee Details (Query)

I'm reaching out about Addition/Deletion of Nominee Details under NRI Customers.
It started a few days ago and hasn't been resolved.


Sincerely"
email_952,business.org,5/27/21 3:57,Service Request,Credit Cards,Card Not Activated,Applied through STP,"Subject: Issue with Card Not Activated – Applied through STP (Service Request)

Hi team,

I'm reaching out about Card Not Activated under Credit Cards (specifically: Applied through STP).
I got an error and couldn't complete what I was doing.


Cheers"
email_250,client.com,5/31/21 5:24,Service Request,Credit Cards,Compromise/ One Time Settlement,Settle dues under Compromise or OTS,"Subject: Question about Compromise/ One Time Settlement – Settle dues under Compromise or OTS in Credit Cards

I'm following up on Compromise/ One Time Settlement (specifically: Settle dues under Compromise or OTS).
Please process this request and let me know what you need from me.
This is urgent.


Best"
email_743,client.com,12/27/21 15:04,Complaint,Suggessions/Issues,Amount sent to Union Bank of India account,Chargeback raised by sender Bank,"Subject: Complaint: Amount sent to Union Bank of India account – Chargeback raised by sender Bank

Hi there,

I need help with Amount sent to Union Bank of India account in Suggessions/Issues (specifically: Chargeback raised by sender Bank).
I don't have the exact date/time right now.
ASAP please.


Sincerely"
email_380,client.com,5/7/21 13:09,Service request,CASA,Acceptance of Hold/Lien removal request,Current Account,"Subject: Issue with Acceptance of Hold/Lien removal request – Current Account (Service request)

Hello,

I need help with Acceptance of Hold/Lien removal request in CASA (specifically: Current Account).
I tried the usual steps but the problem persists.


Regards"
email_321,client.com,7/20/21 15:04,Complaint,Challan Payment,Offline,Not accepted by Branch,"Subject: Issue with Offline – Not accepted by Branch (Complaint)

I'm reaching out about Offline under Challan Payment (specifically: Not accepted by Branch).
It started a few days ago and hasn't been resolved.
This is urgent.
I already shared some details before.


Sincerely"
email_471,anothercorp.net,12/23/21 15:45,Complaint,NRI Customers,Mobile Banking,OTP not received for Vyom registration,"Subject: Complaint: Mobile Banking – OTP not received for Vyom registration

I need help with Mobile Banking in NRI Customers (specifically: OTP not received for Vyom registration).
I don't have the exact date/time right now.
This is urgent.


Sincerely"
email_587,client.com,9/26/21 14:26,Service Request,Credit Cards,Card Not Activated,Applied through STP,"Subject: Need assistance: Card Not Activated – Applied through STP

Hello,

I need help with Card Not Activated in Credit Cards (specifically: Applied through STP).
It started a few days ago and hasn't been resolved.
I already shared some details before.


Regards"
email_614,anothercorp.net,7/5/21 3:53,Complaint,Credit Cards,Cashback not credited to Card,Cashback not credited to Card,"Subject: Question about Cashback not credited to Card – Cashback not credited to Card in Credit Cards

Hello,

This is regarding my complaint for Cashback not credited to Card (Credit Cards).
I got an error and couldn't complete what I was doing.


Cheers"
email_282,anothercorp.net,10/20/21 7:38,Complaint,Challan Payment,Online,Not credited to beneficiary,"Subject: Complaint: Help with Online – Not credited to beneficiary (Challan Payment)

Hi there,

I need help with Online in Challan Payment (specifically: Not credited to beneficiary).
I tried the usual steps but the problem persists.
ASAP please.
I already shared some details before.


Best"
email_997,business.org,11/17/21 12:25,Complaint,Credit Cards,CIBIL related issues,Customer requests for updation/rectification of data pertaining to Credit Cards in CIBIL.,"Subject: Need assistance: CIBIL related issues – Customer requests for updation/rectification of data pertaining to Credit Cards in CIBIL.

Hi there,

I'm raising a complaint about CIBIL related issues in Credit Cards (specifically: Customer requests for updation/rectification of data pertaining to Credit Cards in CIBIL.).
I don't have the exact date/time right now.
Please sort this today.


Sincerely"
email_527,client.com,2/2/21 18:49,Complaint,NRI Customers,Internet Banking,Transaction password reset,"Subject: Complaint: Internet Banking – Transaction password reset

Hi team,

I'm raising a complaint about Internet Banking in NRI Customers (specifically: Transaction password reset).
It started a few days ago and hasn't been resolved.
Let me know if you need anything else.


Regards"
email_39,business.org,10/29/21 22:02,Service Request,Credit Cards,Statement Request,N/A,"Subject: Need assistance: Statement Request

Hi team,

I need help with Statement Request in Credit Cards.
I was told this would be fixed, but I haven't heard back.


Best"
email_49,anothercorp.net,2/13/21 16:19,Complaint,Credit Cards,Fuel / Petrol Surcharge,Fuel / Petrol Surcharge,"Subject: Complaint: Fuel / Petrol Surcharge – Fuel / Petrol Surcharge

Hey,

I'm raising a complaint about Fuel / Petrol Surcharge in Credit Cards (specifically: Fuel / Petrol Surcharge).
It started a few days ago and hasn't been resolved.


Cheers"
email_639,anothercorp.net,6/13/21 5:18,Complaint,Insurance/Mutual Fund,Pending/non disbrs claims,N/A,"Subject: Issue with Pending/non disbrs claims (Complaint)

Hello,

I'm raising a complaint about Pending/non disbrs claims in Insurance/Mutual Fund.
It started a few days ago and hasn't been resolved.
Let me know if you need anything else.


Cheers"
email_557,anothercorp.net,4/17/21 6:19,Service Request,Credit Cards,Statement Request,N/A,"Subject: Issue with Statement Request (Service Request)

I'm following up on Statement Request.
I don't have the exact date/time right now.
ASAP please.


— Sent from my phone"
email_95,client.com,1/30/21 5:13,Complaint,UPI,UPI Autopay,N/A,"Subject: Complaint: UPI Autopay

I need help with UPI Autopay in UPI.
I tried the usual steps but the problem persists.
Please sort this today.
I don't have the docs handy.


— Sent from my phone"
email_136,business.org,5/14/21 19:29,Complaint,Challan Payment,Online,Not credited to beneficiary,"Subject: Complaint: Online – Not credited to beneficiary

Hello,

I'm reaching out about Online under Challan Payment (specifically: Not credited to beneficiary).
I got an error and couldn't complete what I was doing.
Need this fixed now.


Regards"
email_732,anothercorp.net,10/19/21 7:19,Complaint,Credit Cards,Card not working,N/A,"Subject: Issue with Card not working (Complaint)

To whom it may concern,

I'm following up on Card not working.
I was told this would be fixed, but I haven't heard back.


Regards"
email_51,client.com,5/14/21 4:41,Query,NRI Customers,Miscellaneous Query,N/A,"Subject: Issue with Miscellaneous Query (Query)

I'm reaching out about Miscellaneous Query under NRI Customers.
I got an error and couldn't complete what I was doing.


Sincerely"
email_396,client.com,1/10/21 3:05,Complaint,Challan Payment,Offline,Payment failed,"Subject: Follow-up on complaint — Offline – Payment failed

I'm reaching out about Offline under Challan Payment (specifically: Payment failed).
I was told this would be fixed, but I haven't heard back.
Not sure what else you need.


— Sent from my phone"
email_137,client.com,9/29/21 10:31,Service Request,Credit Cards,Compromise/ One Time Settlement,Settle dues under Compromise or OTS,"Subject: Issue with Compromise/ One Time Settlement – Settle dues under Compromise or OTS (Service Request)

Hello,

This is regarding my service request for Compromise/ One Time Settlement (Credit Cards).
I was told this would be fixed, but I haven't heard back.


Regards"
email_281,business.org,5/24/21 14:30,Service Request,NRI Customers,KYC updation,Others,"Subject: Need assistance: KYC updation – Others

To whom it may concern,

This is regarding my service request for KYC updation (NRI Customers).
I tried the usual steps but the problem persists.
Please sort this today.
I already shared some details before.


Thanks"
email_442,client.com,1/14/21 1:58,Service request,CASA,Request for new passbook,Saving Account,"Subject: Service request: Help with Request for new passbook – Saving Account (CASA)

Hey,

This is regarding my service request for Request for new passbook (CASA).
I don't have the exact date/time right now.


Sincerely"
email_308,client.com,11/8/21 6:21,Type,Area,Sub Area,Child Sub Area,"Subject: Follow-up on type — Sub Area – Child Sub Area

To whom it may concern,

I need help with Sub Area in Area (specifically: Child Sub Area).
I got an error and couldn't complete what I was doing.


— Sent from my phone"
email_267,business.org,12/14/21 21:37,Complaint,Credit Cards,Airport Lounge details,Airport Lounge access was Denied,"Subject: Need assistance: Airport Lounge details – Airport Lounge access was Denied

Hey,

This is regarding my complaint for Airport Lounge details (Credit Cards).
It started a few days ago and hasn't been resolved.
Let me know if you need anything else.


Sincerely"
email_338,client.com,5/29/21 21:34,Complaint,Credit Cards,Account Debited Cash Not Dispensed,Other Bank ATM,"Subject: Complaint: Help with Account Debited Cash Not Dispensed – Other Bank ATM (Credit Cards)

This is regarding my complaint for Account Debited Cash Not Dispensed (Credit Cards).
I tried the usual steps but the problem persists.
Need this fixed now.


Best"
email_509,client.com,9/29/21 12:57,Service Request,Credit Cards,NOC in respect of settled cards,Request for NO OBJECTION CERTIFICATE NOC,"Subject: Service Request: Help with NOC in respect of settled cards – Request for NO OBJECTION CERTIFICATE NOC (Credit Cards)

Hi there,

I'm reaching out about NOC in respect of settled cards under Credit Cards (specifically: Request for NO OBJECTION CERTIFICATE NOC).
I don't have the exact date/time right now.
This is urgent.
Let me know if you need anything else.


Cheers"
